pathLength	endType	numberOfPause	stepsToFirstPause	pathString
20	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 135, 58, 149, 78, 155, 128, 92]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 135, 58, 149, 78, 155, 128, 125, 119, 144, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 135, 58, 149, 78, 155, 128, 125, 119, 72, 62]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 135, 58, 149, 78, 31]
17	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 135, 58, 149, 15]
17	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 135, 58, 128, 92]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 135, 58, 128, 125, 119, 144, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 135, 58, 128, 125, 119, 72, 62]
19	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 112, 119, 144, 62]
19	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 112, 119, 72, 62]
22	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 149, 78, 155, 112, 119, 144, 62]
22	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 149, 78, 155, 112, 119, 72, 62]
20	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 149, 78, 155, 128, 92]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 149, 78, 155, 128, 125, 119, 144, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 149, 78, 155, 128, 125, 119, 72, 62]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 149, 78, 31]
17	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 149, 15]
17	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 128, 92]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 128, 125, 119, 144, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 29, 24, 40, 58, 128, 125, 119, 72, 62]
12	bad	2	2	[7, 55, 67, 105, 154, 34, 132, 159, 70, 104, 84, 122]
12	bad	2	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 122]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 112, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 112, 119, 72, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 128, 92]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 149, 78, 31]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 149, 15]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 128, 92]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 128, 125, 119, 144, 62]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 99, 58, 128, 125, 119, 72, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 112, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 112, 119, 72, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 128, 92]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 149, 78, 31]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 149, 15]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 128, 92]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 128, 125, 119, 144, 62]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 66, 139, 58, 128, 125, 119, 72, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 112, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 112, 119, 72, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 128, 92]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 149, 78, 31]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 149, 15]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 128, 92]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 128, 125, 119, 144, 62]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 69, 58, 128, 125, 119, 72, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 112, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 112, 119, 72, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 149, 78, 155, 128, 92]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 149, 78, 31]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 149, 15]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 128, 92]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 128, 125, 119, 144, 62]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 48, 115, 58, 128, 125, 119, 72, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 112, 119, 144, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 112, 119, 72, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 149, 78, 155, 128, 92]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 149, 78, 31]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 149, 15]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 128, 92]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 128, 125, 119, 144, 62]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 20, 58, 128, 125, 119, 72, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 112, 119, 144, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 112, 119, 72, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 149, 78, 155, 128, 92]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 149, 78, 31]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 149, 15]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 128, 92]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 128, 125, 119, 144, 62]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 160, 45, 58, 128, 125, 119, 72, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 112, 119, 144, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 112, 119, 72, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 149, 78, 155, 128, 92]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 149, 78, 31]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 149, 15]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 128, 92]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 128, 125, 119, 144, 62]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 135, 58, 128, 125, 119, 72, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 112, 119, 144, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 112, 119, 72, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 149, 78, 155, 128, 92]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 149, 78, 31]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 149, 15]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 128, 92]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 128, 125, 119, 144, 62]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 29, 24, 40, 58, 128, 125, 119, 72, 62]
13	bad	2	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 80, 104, 84, 122]
12	bad	2	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 122]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 112, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 112, 119, 72, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 149, 78, 155, 128, 92]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 149, 78, 31]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 149, 15]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 128, 92]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 128, 125, 119, 144, 62]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 99, 58, 128, 125, 119, 72, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 112, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 112, 119, 72, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 149, 78, 155, 128, 92]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 149, 78, 31]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 149, 15]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 128, 92]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 128, 125, 119, 144, 62]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 66, 139, 58, 128, 125, 119, 72, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 112, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 112, 119, 72, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 149, 78, 155, 128, 92]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 149, 78, 31]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 149, 15]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 128, 92]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 128, 125, 119, 144, 62]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 69, 58, 128, 125, 119, 72, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 112, 119, 144, 62]
20	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 112, 119, 72, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 149, 78, 155, 128, 92]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 149, 78, 31]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 149, 15]
18	bad	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 128, 92]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 128, 125, 119, 144, 62]
21	good	6	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 48, 115, 58, 128, 125, 119, 72, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 112, 119, 144, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 112, 119, 72, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 149, 78, 155, 128, 92]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 149, 78, 31]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 149, 15]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 128, 92]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 128, 125, 119, 144, 62]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 20, 58, 128, 125, 119, 72, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 112, 119, 144, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 112, 119, 72, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 149, 78, 155, 112, 119, 144, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 149, 78, 155, 112, 119, 72, 62]
21	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 149, 78, 155, 128, 92]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 149, 78, 155, 128, 125, 119, 144, 62]
24	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 149, 78, 155, 128, 125, 119, 72, 62]
19	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 149, 78, 31]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 149, 15]
18	bad	4	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 128, 92]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 128, 125, 119, 144, 62]
21	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 160, 45, 58, 128, 125, 119, 72, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 24, 135, 58, 112, 119, 144, 62]
20	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 24, 135, 58, 112, 119, 72, 62]
23	good	5	2	[7, 55, 67, 105, 154, 34, 132, 117, 159, 70, 104, 84, 29, 24, 135, 58, 149, 78, 155, 112, 119, 144, 62]
